*Date,*Amount,Payee,Description,Reference,Check Number,,
10/11/2017,39.14,Stripe,EUROTRENDING,txn_1BMa4cH48shMvbMvi1MPXU4J,,,1
12/11/2017,-39.14,Stripe,STRIPE TRANSFER,txn_1BNF7JH48shMvbMvgfXwSdvS,,,
12/11/2017,39.14,Stripe,EUROTRENDING,txn_1BNL3tH48shMvbMvtS7RNVxn,,,
12/11/2017,39.14,Stripe,EUROTRENDING,txn_1BNLEiH48shMvbMveiUtzwTB,,,
13/11/2017,19.42,Stripe,EUROTRENDING,txn_1BNdxzH48shMvbMvYzM4uZcC,,,
13/11/2017,39.14,Stripe,EUROTRENDING,txn_1BNe2VH48shMvbMvW3n2oapf,,,
13/11/2017,39.14,Stripe,EUROTRENDING,txn_1BNfjlH48shMvbMvLjGhojJq,,,
13/11/2017,19.42,Stripe,EUROTRENDING,txn_1BNgcCH48shMvbMvHqlewMJJ,,,
13/11/2017,19.42,Stripe,EUROTRENDING,txn_1BNkx8H48shMvbMveg8G5xG9,,,
13/11/2017,39.14,Stripe,EUROTRENDING,txn_1BNl68H48shMvbMvmVBlyyzz,,,
13/11/2017,39.14,Stripe,EUROTRENDING,txn_1BNlCyH48shMvbMvpy0E1sBo,,,
13/11/2017,19.42,Stripe,EUROTRENDING,txn_1BNlPyH48shMvbMv5OZMv8Cs,,,
13/11/2017,39.14,Stripe,EUROTRENDING,txn_1BNlWmH48shMvbMvWozKeXiX,,,
13/11/2017,39.14,Stripe,EUROTRENDING,txn_1BNmi2H48shMvbMvLxnkrrSO,,,
13/11/2017,39.14,Stripe,EUROTRENDING,txn_1BNnpaH48shMvbMvg3CyIYbi,,,
14/11/2017,39.14,Stripe,EUROTRENDING,txn_1BNwjBH48shMvbMvpMCjq3xa,,,
14/11/2017,39.14,Stripe,EUROTRENDING,txn_1BNx7FH48shMvbMvWAQt58V1,,,
14/11/2017,19.42,Stripe,EUROTRENDING,txn_1BNyq0H48shMvbMvYVlbtDeN,,,
14/11/2017,19.42,Stripe,EUROTRENDING,txn_1BNzgaH48shMvbMvZqDcKsGx,,,
14/11/2017,-78.28,Stripe,STRIPE TRANSFER,txn_1BO0vZH48shMvbMvKfbnFP7F,,,
14/11/2017,19.42,Stripe,EUROTRENDING,txn_1BO1zeH48shMvbMvlKv8KeXx,,,
14/11/2017,39.14,Stripe,EUROTRENDING,txn_1BO3MyH48shMvbMvSFAY1uPR,,,
15/11/2017,39.14,Stripe,EUROTRENDING,txn_1BOEKPH48shMvbMvKRZapsai,,,
15/11/2017,39.14,Stripe,EUROTRENDING,txn_1BOKMLH48shMvbMvMHj5lqt4,,,
15/11/2017,39.14,Stripe,EUROTRENDING,txn_1BOKkyH48shMvbMvjPpB8HJk,,,
15/11/2017,-351.66,Stripe,STRIPE TRANSFER,txn_1BOMp0H48shMvbMvIlw9nGvE,,,
15/11/2017,39.14,Stripe,EUROTRENDING,txn_1BOPVGH48shMvbMvqju4Fbpe,,,
15/11/2017,39.14,Stripe,EUROTRENDING,txn_1BOPbyH48shMvbMvjSWkxc2o,,,
16/11/2017,-175.68,Stripe,STRIPE TRANSFER,txn_1BOjKvH48shMvbMvotImNXe2,,,
16/11/2017,39.14,Stripe,EUROTRENDING,txn_1BOjbkH48shMvbMvs7AIUqz4,,,
16/11/2017,39.14,Stripe,EUROTRENDING,txn_1BOnlxH48shMvbMv0s569lmN,,,
16/11/2017,39.14,Stripe,EUROTRENDING,txn_1BOnuhH48shMvbMvtR6lY7Le,,,
16/11/2017,39.14,Stripe,EUROTRENDING,txn_1BOrpiH48shMvbMvG7kjZV0s,,,
16/11/2017,-39.14,Stripe,REFUND FOR CHARGE (EUROTRENDING),txn_1BOuf0H48shMvbMvhbl6PSNO,,,
17/11/2017,-195.7,Stripe,STRIPE TRANSFER,txn_1BP5HoH48shMvbMvnL7k5uML,,,
17/11/2017,24.35,Stripe,EUROTRENDING,txn_1BP8wuH48shMvbMvfI6KuI6G,,,
17/11/2017,39.14,Stripe,EUROTRENDING,txn_1BP9NsH48shMvbMvuTbpAPpB,,,
17/11/2017,19.42,Stripe,EUROTRENDING,txn_1BPBV2H48shMvbMvYkOd6Oxi,,,
